[2023-03-16 01:20:02,876] Register - Step 01: Nagivate to 'Register' page'
[2023-03-16 01:20:03,354] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-03-16 01:20:03,445] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2023-03-16 01:20:03,501] Register - Step 04: Enter to Email textbox with value is 'afc4173@mail.vn'
[2023-03-16 01:20:03,559] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-03-16 01:20:03,616] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-03-16 01:20:03,670] Register - Step 07: Click to 'Register' button
[2023-03-16 01:20:04,364] Register - Step 08: Verify Register success message is displayed
[2023-03-16 01:20:04,430] Login - Step 01: Navigate to Login page
[2023-03-16 01:25:42,153] Register - Step 01: Nagivate to 'Register' page'
[2023-03-16 01:25:43,138] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-03-16 01:25:43,243] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2023-03-16 01:25:43,311] Register - Step 04: Enter to Email textbox with value is 'afc2972@mail.vn'
[2023-03-16 01:25:43,385] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-03-16 01:25:43,442] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-03-16 01:25:43,500] Register - Step 07: Click to 'Register' button
[2023-03-16 01:25:44,206] Register - Step 08: Verify Register success message is displayed
[2023-03-16 01:25:44,264]  -------------------------- PASSED -------------------------- 
[2023-03-16 01:25:44,272] Login - Step 01: Navigate to Login page
[2023-03-16 01:25:44,658] Login - Step 02: Enter to Email textbox with value is 'afc2972@mail.vn'
[2023-03-16 01:25:44,740] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-03-16 01:25:44,788] Login - Step 04: Click to Login button
[2023-03-16 01:25:45,406] Login - Step 05: Verify 'My Account' link is displayed
[2023-03-16 01:25:45,484]  -------------------------- PASSED -------------------------- 
[2023-03-16 01:25:45,484] Login - Step 06: Navigate to 'My Account' page
[2023-03-16 01:25:46,033] Login - Step 07: Verify 'Customer Infor' page is displayed
[2023-03-16 01:25:46,109]  -------------------------- PASSED -------------------------- 
[2023-03-16 01:37:41,847] Register - Step 01: Nagivate to 'Register' page'
[2023-03-16 01:37:43,207] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2023-03-16 01:37:43,300] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2023-03-16 01:37:43,360] Register - Step 04: Enter to Email textbox with value is 'afc8240@mail.vn'
[2023-03-16 01:37:43,451] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-03-16 01:37:43,512] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-03-16 01:37:43,567] Register - Step 07: Click to 'Register' button
[2023-03-16 01:37:44,703] Register - Step 08: Verify Register success message is displayed
[2023-03-16 01:37:44,766]  -------------------------- PASSED -------------------------- 
[2023-03-16 01:37:44,782] Login - Step 01: Navigate to Login page
